Plot Rep Block Genotype Lat Loc Year Environment EV_V4 EV_V6 PH_V4 PH_V6 PH_final LO TILL FF MF
6196 2 620 DH_PE0071 31 ROG 2017 2017.ROG 6 6 28 65.66666667 139.6666667 4 3 76 NA
6198 2 620 DH_KE0141 31 ROG 2017 2017.ROG 5 6 21.66666667 65 149 1 1 72 NA
6199 2 620 DH_KE0641 31 ROG 2017 2017.ROG 5 6 19.66666667 54.66666667 143.3333333 9 2 74 NA
6200 2 620 DH_KE0498 31 ROG 2017 2017.ROG 6 6 28 63 119.3333333 5 5 70 NA
6201 1 621 DH_PE0463 32 ROG 2017 2017.ROG 4 4 19 46 150 5 1 74 NA
6202 1 621 DH_KE0287 32 ROG 2017 2017.ROG 6 6 19.66666667 68.33333333 108.6666667 9 2 72 NA
6203 1 621 DH_KE0471 32 ROG 2017 2017.ROG 5 6 21 70 111.6666667 5 2 64 NA
6204 1 621 DH_LL0012 32 ROG 2017 2017.ROG 5 6 21.66666667 62.66666667 114 2 3 68 NA
6205 1 621 DH_PE0164 32 ROG 2017 2017.ROG 6 6 32 73 104.6666667 1 2 72 NA
6207 1 621 DH_PE0419 32 ROG 2017 2017.ROG 6 8 40.33333333 93.33333333 163.3333333 1 3 64 NA
6208 1 621 DH_PE0349 32 ROG 2017 2017.ROG 6 6 25.66666667 78.66666667 130 1 5 78 NA
6209 1 621 DH_KE0219 32 ROG 2017 2017.ROG 5 5 22.66666667 57 141.6666667 9 1 72 NA
6210 1 621 DH_KE0450 32 ROG 2017 2017.ROG 6 6 28 68.33333333 131.6666667 4 3 78 NA
6211 1 622 DH_PE0294 32 ROG 2017 2017.ROG 6 6 26.66666667 66.66666667 153.3333333 1 6 78 NA
6212 1 622 DH_PE0299 32 ROG 2017 2017.ROG 7 7 31.66666667 71.33333333 167 1 4 72 NA
6213 1 622 DH_KE0294 32 ROG 2017 2017.ROG 5 5 25 56.66666667 110.3333333 1 2 74 NA
6214 1 622 DH_PE0134 32 ROG 2017 2017.ROG 5 5 26.33333333 65 110.6666667 1 4 70 NA
6215 1 622 DH_LL0043 32 ROG 2017 2017.ROG 3 2 19.66666667 45 76.33333333 4 2 70 NA
6216 1 622 DH_KE0454 32 ROG 2017 2017.ROG 7 6 32.66666667 64.66666667 118.6666667 1 2 70 NA
6217 1 622 DH_KE0107 32 ROG 2017 2017.ROG 5 6 28.33333333 82.66666667 164 3 3 70 NA
6218 1 622 DH_KE0680 32 ROG 2017 2017.ROG 6 6 28 65.33333333 168.6666667 9 4 80 NA
6219 1 622 DH_KE0476 32 ROG 2017 2017.ROG 6 6 28 70.33333333 99 1 1 68 NA
6220 1 622 DH_KE0605 32 ROG 2017 2017.ROG 7 7 28 68 119 1 4 68 NA
6221 1 623 DH_KE0707 32 ROG 2017 2017.ROG 6 6 28.33333333 64.66666667 144.3333333 9 3 78 NA
6222 1 623 UH009 32 ROG 2017 2017.ROG 6 6 29.33333333 78.33333333 162.6666667 1 2 64 NA
6225 1 623 DH_KE0461 32 ROG 2017 2017.ROG 5 5 28.33333333 65.33333333 167.6666667 1 1 76 NA
6226 1 623 DH_KE0082 32 ROG 2017 2017.ROG 4 4 21.33333333 54.33333333 90.33333333 1 1 70 NA
6227 1 623 DH_KE0092 32 ROG 2017 2017.ROG 7 7 30 64.66666667 112.6666667 1 3 61 NA
6229 1 623 DH_KE0197 32 ROG 2017 2017.ROG 6 6 26.33333333 64 166 9 3 72 NA
6230 1 623 DH_KE0072 32 ROG 2017 2017.ROG 4 5 20.33333333 53 120 1 3 70 NA
6231 1 624 DH_KE0211 32 ROG 2017 2017.ROG 5 5 29.66666667 58.66666667 152.6666667 1 4 78 NA
6232 1 624 DH_KE0436 32 ROG 2017 2017.ROG 7 6 36.66666667 69.33333333 152 1 6 74 NA
6233 1 624 DH_PE0341 32 ROG 2017 2017.ROG 6 6 26.66666667 65.66666667 116.6666667 1 5 72 NA
6234 1 624 DH_PE0192 32 ROG 2017 2017.ROG 5 5 23.66666667 56 101 1 4 74 NA
6235 1 624 DH_KE0308 32 ROG 2017 2017.ROG 5 5 27 63.33333333 147.3333333 7 4 72 NA
6236 1 624 DH_KE0532 32 ROG 2017 2017.ROG 8 8 31.33333333 76 143.3333333 3 3 88 NA
6237 1 624 DH_KE0678 32 ROG 2017 2017.ROG 4 4 18.66666667 56.66666667 141.6666667 1 1 72 NA
6239 1 624 DH_KE0485 32 ROG 2017 2017.ROG 6 7 27.33333333 74.66666667 178.6666667 1 3 70 NA
6240 1 624 DH_KE0460 32 ROG 2017 2017.ROG 5 6 26 69.33333333 144.6666667 2 4 68 NA
6241 1 625 DH_KE0134 32 ROG 2017 2017.ROG 4 5 21.66666667 50.66666667 111.3333333 1 2 78 NA
6242 1 625 DH_PE0290 32 ROG 2017 2017.ROG 8 7 33.33333333 76 104 1 5 70 NA
6243 1 625 DH_KE0086 32 ROG 2017 2017.ROG 6 6 27 66.33333333 110.6666667 1 5 64 NA
6244 1 625 DH_KE0462 32 ROG 2017 2017.ROG 5 4 23.66666667 64.66666667 129.3333333 1 1 78 NA
6247 1 625 DH_PE0167 32 ROG 2017 2017.ROG 6 5 26 68.66666667 108.6666667 1 5 70 NA
6248 1 625 DH_PE0427 32 ROG 2017 2017.ROG 6 6 25 61.66666667 110 1 5 70 NA
6249 1 625 DH_KE0610 32 ROG 2017 2017.ROG 7 7 32 72.33333333 174 1 3 72 NA
6250 1 625 DH_PE0429 32 ROG 2017 2017.ROG 5 7 37.33333333 82.66666667 130.3333333 1 4 68 NA
6251 1 626 DH_KE0242 32 ROG 2017 2017.ROG 6 6 31.33333333 66.66666667 132.3333333 3 3 70 NA
6252 1 626 DH_PE0098 32 ROG 2017 2017.ROG 4 3 22.33333333 45.66666667 101 1 3 80 NA
6253 1 626 DH_KE0457 32 ROG 2017 2017.ROG 5 6 30.33333333 68 119 1 5 70 NA
6254 1 626 DH_KE0227 32 ROG 2017 2017.ROG 6 6 35.33333333 75.66666667 167.3333333 4 4 70 NA
6255 1 626 DH_PE0347 32 ROG 2017 2017.ROG 6 6 25.33333333 66.33333333 122.3333333 1 4 74 NA
6256 1 626 DH_PE0117 32 ROG 2017 2017.ROG 5 5 27 58.33333333 102.3333333 1 6 70 NA
6257 1 626 DH_KE0245 32 ROG 2017 2017.ROG 6 7 28 80.66666667 152 1 1 72 NA
6259 1 626 DH_KE0038 32 ROG 2017 2017.ROG 6 6 29.66666667 79 106.3333333 8 1 84 NA
6260 1 626 DH_PE0048 32 ROG 2017 2017.ROG 5 5 21.66666667 60 121.6666667 2 5 80 NA
6261 1 627 DH_KE0573 32 ROG 2017 2017.ROG 7 6 39 78.33333333 159.3333333 1 1 68 NA
6262 1 627 DH_KE0467 32 ROG 2017 2017.ROG 6 6 27.66666667 68 104 8 4 80 NA
6263 1 627 DH_PE0338 32 ROG 2017 2017.ROG 6 6 27 67.33333333 118 1 3 72 NA
6264 1 627 F7 32 ROG 2017 2017.ROG 5 7 21.66666667 68 91.33333333 1 3 64 NA
6266 1 627 DH_PE0593 32 ROG 2017 2017.ROG 5 5 24.33333333 61.33333333 122.3333333 9 1 80 NA
6267 1 627 DH_KE0140 32 ROG 2017 2017.ROG 6 6 27.66666667 63 111 1 2 78 NA
6268 1 627 DH_PE0168 32 ROG 2017 2017.ROG 5 5 23.33333333 60.66666667 111.3333333 1 4 74 NA
6269 1 627 DH_KE0088 32 ROG 2017 2017.ROG 5 4 24.33333333 49.33333333 89.66666667 1 5 68 NA
6270 1 627 DH_KE0486 32 ROG 2017 2017.ROG 6 6 28 69.66666667 109.6666667 1 1 70 NA
6271 1 628 DH_PE0388 32 ROG 2017 2017.ROG 6 5 28 73.66666667 125 3 4 72 NA
6272 1 628 DH_KE0247 32 ROG 2017 2017.ROG 4 4 22.33333333 46 125 3 1 78 NA
